"peak","gene.name"
"80","chr1_1397299_1403467","ATAD3C"
"81","chr1_1404045_1404092","ATAD3C"
"82","chr1_1405378_1405626","ATAD3C"
"83","chr1_1406191_1408354","ATAD3B"
"84","chr1_1409327_1409528","ATAD3B"
"85","chr1_1419442_1421082","ATAD3B"
"86","chr1_1425960_1428041","ATAD3B"
"87","chr1_1431758_1432083","ATAD3B"
"88","chr1_1461967_1463075","ATAD3A"
"89","chr1_1470515_1473229","TMEM240"
"90","chr1_1473830_1474130","TMEM240"
"91","chr1_1479451_1479953","SSU72"
"92","chr1_1504556_1506140","SSU72"
"93","chr1_1508359_1508942","SSU72"
"94","chr1_1509472_1509491","SSU72"
"95","chr1_1510681_1513270","SSU72"
"96","chr1_1535664_1536867","C1orf233"
"97","chr1_1550744_1551342","MIB2"
"98","chr1_1561471_1562772","MIB2"
"99","chr1_1564342_1564595","MIB2"
"100","chr1_1568655_1569801","MMP23B"
"101","chr1_1570732_1575919","CDK11B"
"102","chr1_1577258_1578832","CDK11B"
"103","chr1_1583090_1583737","CDK11B"
"104","chr1_1586250_1586420","CDK11B"
"105","chr1_1593925_1595057","RP11-345P4.10"
"106","chr1_1596784_1605613","SLC35E2B"
"107","chr1_1606262_1607881","SLC35E2B"
"108","chr1_1613696_1632757","SLC35E2B"
"109","chr1_1636486_1637220","CDK11A"
"110","chr1_1658425_1659722","RP1-283E3.8"
"111","chr1_1664979_1666625","RP1-283E3.8"
"112","chr1_1677325_1679325","SLC35E2"
"113","chr1_1684063_1684478","NADK"
"114","chr1_1685945_1687181","NADK"
"115","chr1_1692206_1695195","NADK"
"116","chr1_1703735_1704546","NADK"
"117","chr1_1706522_1706697","NADK"
"118","chr1_1721167_1721599","GNB1"
"119","chr1_1723735_1725085","GNB1"
"120","chr1_1726266_1726465","GNB1"
"121","chr1_1728310_1729507","GNB1"
"122","chr1_1730833_1732932","GNB1"
"123","chr1_1737876_1738151","GNB1"
"124","chr1_1741175_1741183","GNB1"
"125","chr1_1745493_1747538","GNB1"
"126","chr1_1748703_1749480","GNB1"
"127","chr1_1752820_1753717","GNB1"
"128","chr1_1754380_1754431","GNB1"
"129","chr1_1758726_1759939","GNB1"
"130","chr1_1763950_1765436","GNB1"
"131","chr1_1775339_1776272","GNB1"
"132","chr1_1776828_1783991","GNB1"
"133","chr1_1784651_1785052","GNB1"
"134","chr1_1788146_1788493","GNB1"
"135","chr1_1789004_1789445","GNB1"
"136","chr1_1793311_1793423","GNB1"
"137","chr1_1796403_1796909","GNB1"
"138","chr1_1797849_1798408","GNB1"
"139","chr1_1847817_1848366","CALML6"
"140","chr1_1849143_1849675","TMEM52"
"141","chr1_1855785_1856043","C1orf222"
"142","chr1_1857062_1857739","C1orf222"
"143","chr1_1858478_1859333","C1orf222"
"144","chr1_1860579_1862315","C1orf222"
"145","chr1_1862850_1863146","C1orf222"
"146","chr1_1864234_1865133","C1orf222"
"147","chr1_1865806_1866265","C1orf222"
"148","chr1_1869208_1870298","C1orf222"
"149","chr1_1871350_1871666","C1orf222"
"150","chr1_1872390_1873608","C1orf222"
"151","chr1_1874294_1875320","C1orf222"
"152","chr1_1875912_1876175","C1orf222"
"153","chr1_1878137_1878624","C1orf222"
"154","chr1_1879857_1882229","C1orf222"
"155","chr1_1883027_1884216","C1orf222"
"156","chr1_1886087_1896354","C1orf222"
"157","chr1_1898823_1900099","C1orf222"
"158","chr1_1901439_1902268","C1orf222"
"159","chr1_1905851_1911844","C1orf222"
"160","chr1_1914190_1923960","C1orf222"
"161","chr1_1924659_1925377","C1orf222"
"162","chr1_1960000_1960433","GABRD"
"163","chr1_1996085_1996674","PRKCZ"
"164","chr1_2003774_2003951","PRKCZ"
"165","chr1_2019097_2019931","PRKCZ"
"166","chr1_2025633_2026116","PRKCZ"
"167","chr1_2043518_2045607","PRKCZ"
"168","chr1_2046415_2046874","PRKCZ"
"169","chr1_2049292_2052006","PRKCZ"
"170","chr1_2091569_2092051","PRKCZ"
"171","chr1_2108570_2108887","PRKCZ"
"172","chr1_2110815_2111028","PRKCZ"
"173","chr1_2112137_2113119","PRKCZ"
"174","chr1_2115117_2115557","PRKCZ"
"175","chr1_2118553_2119020","C1orf86"
"176","chr1_2126200_2128398","C1orf86"
"177","chr1_2132143_2136521","C1orf86"
"178","chr1_2137240_2137896","C1orf86"
"179","chr1_2139497_2140523","C1orf86"
"180","chr1_2142545_2143351","C1orf86"
"181","chr1_2143897_2145315","C1orf86"
"182","chr1_2145904_2147150","C1orf86"
"183","chr1_2148366_2153679","RP11-181G12.4"
"184","chr1_2159127_2159587","SKI"
"185","chr1_2160591_2160992","SKI"
"186","chr1_2162893_2163612","SKI"
"187","chr1_2173907_2174932","SKI"
"188","chr1_2186045_2186207","SKI"
"189","chr1_2187674_2192185","SKI"
"190","chr1_2192803_2202429","SKI"
"191","chr1_2203038_2211269","SKI"
"192","chr1_2212019_2217115","SKI"
"193","chr1_2220253_2220263","SKI"
"194","chr1_2221007_2221034","SKI"
"195","chr1_2223991_2243905","SKI"
"196","chr1_2245042_2260771","MORN1"
"197","chr1_2261501_2261862","MORN1"
"198","chr1_2266257_2266396","MORN1"
"199","chr1_2267865_2268540","MORN1"
"200","chr1_2270704_2271683","MORN1"
"201","chr1_2273521_2276943","MORN1"
"202","chr1_2277943_2279878","MORN1"
"203","chr1_2283363_2283540","MORN1"
"204","chr1_2284504_2285007","MORN1"
"205","chr1_2286808_2287095","MORN1"
"206","chr1_2287696_2307507","MORN1"
"207","chr1_2308779_2309473","MORN1"
"208","chr1_2310133_2323734","MORN1"
"209","chr1_2324427_2325039","MORN1"
"210","chr1_2379593_2380016","PLCH2"
"211","chr1_2381223_2383175","PLCH2"
"212","chr1_2390265_2393873","PLCH2"
"213","chr1_2408697_2408947","PLCH2"
"214","chr1_2410387_2410398","PLCH2"
"215","chr1_2411619_2418124","PLCH2"
"216","chr1_2443519_2444246","PANK4"
"217","chr1_2493438_2508142","TNFRSF14"
"218","chr1_2522750_2532596","FAM213B"
"219","chr1_2534929_2535578","MMEL1"
"220","chr1_2539257_2550817","MMEL1"
"221","chr1_2553882_2565652","MMEL1"
"222","chr1_2566156_2567745","MMEL1"
"223","chr1_2569154_2569358","TTC34"
"224","chr1_2570125_2570958","TTC34"
"225","chr1_2575386_2579330","TTC34"
"226","chr1_2581112_2582179","TTC34"
"227","chr1_2583272_2589228","TTC34"
"228","chr1_2591818_2593503","TTC34"
"229","chr1_2611248_2611503","TTC34"
"230","chr1_2627962_2629714","TTC34"
"231","chr1_2641098_2644825","TTC34"
"232","chr1_3012706_3012826","PRDM16"
"233","chr1_3032804_3033697","PRDM16"
"234","chr1_3070109_3070282","PRDM16"
"235","chr1_3171088_3171350","PRDM16"
"236","chr1_3313123_3313473","PRDM16"
"237","chr1_3316454_3317116","PRDM16"
"238","chr1_3319997_3320254","PRDM16"
"239","chr1_3372324_3372725","ARHGEF16"
"240","chr1_3384430_3384805","ARHGEF16"
"241","chr1_3424687_3425062","MEGF6"
"242","chr1_3453046_3455260","MEGF6"
"243","chr1_3483824_3484253","MEGF6"
"244","chr1_3490796_3492384","MEGF6"
"245","chr1_3494436_3494665","MEGF6"
"246","chr1_3495506_3496002","MEGF6"
"247","chr1_3501900_3502200","MEGF6"
"248","chr1_3529773_3533539","MEGF6"
"249","chr1_3565179_3565645","WRAP73"
"250","chr1_3596873_3600260","TP73"
"251","chr1_3610446_3612481","TP73"
"252","chr1_3615190_3615482","TP73"
"253","chr1_3618570_3619644","TP73"
"254","chr1_3620904_3621755","TP73"
"255","chr1_3623389_3626118","TP73"
"256","chr1_3627896_3628124","TP73"
"257","chr1_3629811_3631662","TP73"
"258","chr1_3649198_3653468","TP73"
"259","chr1_3665437_3667812","TP73-AS1"
"260","chr1_3668575_3670130","CCDC27"
"261","chr1_3671978_3672046","CCDC27"
"262","chr1_3672685_3674451","CCDC27"
"263","chr1_3676088_3679336","CCDC27"
"264","chr1_3680726_3681119","CCDC27"
"265","chr1_3684041_3684409","CCDC27"
"266","chr1_3704016_3704337","LRRC47"
"267","chr1_3745954_3747811","CEP104"
"268","chr1_3771483_3776596","CEP104"
"269","chr1_3777576_3777708","DFFB"
"270","chr1_3787440_3787749","DFFB"
"271","chr1_3793551_3794140","DFFB"
"272","chr1_3795700_3797317","DFFB"
"273","chr1_3801375_3801829","DFFB"
"274","chr1_3810342_3810400","C1orf174"
"275","chr1_4006980_4008176","RP13-614K11.1"
"276","chr1_4638289_4638724","RP1-37J18.2"
"277","chr1_4736108_4736680","AJAP1"
"278","chr1_4796350_4796881","AJAP1"
"279","chr1_5666776_5668424","RP11-154H17.1"
"280","chr1_5951056_5951331","NPHP4"
"281","chr1_5954994_5955352","NPHP4"
"282","chr1_5966871_5967223","NPHP4"
"283","chr1_5975104_5976174","NPHP4"
"284","chr1_5980353_5980926","NPHP4"
"285","chr1_5982306_5982719","NPHP4"
"286","chr1_5990874_5996590","NPHP4"
"287","chr1_5998855_5999269","NPHP4"
"288","chr1_5999800_6000167","NPHP4"
"289","chr1_6000870_6004154","NPHP4"
"290","chr1_6005208_6005854","NPHP4"
"291","chr1_6006617_6007195","NPHP4"
"292","chr1_6009208_6009469","NPHP4"
"293","chr1_6012646_6013760","NPHP4"
"294","chr1_6014498_6015663","NPHP4"
"295","chr1_6024481_6029747","NPHP4"
"296","chr1_6030268_6030478","NPHP4"
"297","chr1_6034427_6034844","NPHP4"
"298","chr1_6037415_6037702","NPHP4"
"299","chr1_6041436_6041831","NPHP4"
"300","chr1_6052484_6052613","NPHP4"
"301","chr1_6056058_6057040","KCNAB2"
"302","chr1_6058601_6059002","KCNAB2"
"303","chr1_6085807_6085944","KCNAB2"
"304","chr1_6086968_6087575","KCNAB2"
"305","chr1_6090371_6090721","KCNAB2"
"306","chr1_6095053_6102588","KCNAB2"
"307","chr1_6103337_6103378","KCNAB2"
"308","chr1_6108826_6109268","KCNAB2"
"309","chr1_6123026_6123499","KCNAB2"
"310","chr1_6127424_6128472","KCNAB2"
"311","chr1_6148354_6149092","KCNAB2"
"312","chr1_6180261_6181134","CHD5"
"313","chr1_6198770_6200666","CHD5"
"314","chr1_6204833_6206761","CHD5"
"315","chr1_6208580_6210061","CHD5"
"316","chr1_6235009_6236832","CHD5"
"317","chr1_6242133_6242719","CHD5"
"318","chr1_6244637_6247314","RPL22"
"319","chr1_6249100_6249669","RPL22"
"320","chr1_6258649_6262387","RPL22"
"321","chr1_6293897_6295313","ICMT"
"322","chr1_6343351_6343881","ACOT7"
"323","chr1_6347863_6349705","ACOT7"
"324","chr1_6357274_6361008","ACOT7"
"325","chr1_6363014_6363647","ACOT7"
"326","chr1_6364791_6365831","ACOT7"
"327","chr1_6374493_6374494","ACOT7"
"328","chr1_6391874_6395533","ACOT7"
"329","chr1_6401564_6402191","ACOT7"
"330","chr1_6404370_6405265","ACOT7"
"331","chr1_6414309_6414761","ACOT7"
"332","chr1_6419047_6421004","ACOT7"
"333","chr1_6423356_6425526","ACOT7"
"334","chr1_6437956_6438469","ACOT7"
"335","chr1_6439932_6441129","ACOT7"
"336","chr1_6445066_6445538","ACOT7"
"337","chr1_6446715_6450260","ACOT7"
"338","chr1_6454440_6455954","ACOT7"
"339","chr1_6475257_6476143","HES2"
"340","chr1_6485066_6487088","HES2"
"341","chr1_6489137_6492006","ESPN"
"342","chr1_6493231_6493643","ESPN"
"343","chr1_6495023_6495511","ESPN"
"344","chr1_6496206_6498339","ESPN"
"345","chr1_6507325_6507362","ESPN"
"346","chr1_6545283_6546102","PLEKHG5"
"347","chr1_6553618_6555703","PLEKHG5"
"348","chr1_6575240_6575286","PLEKHG5"
"349","chr1_6576811_6577137","PLEKHG5"
"350","chr1_6578126_6583066","PLEKHG5"
"351","chr1_6584210_6584498","NOL9"
"352","chr1_6585823_6589687","NOL9"
"353","chr1_6590953_6592969","NOL9"
"354","chr1_6596848_6596934","NOL9"
"355","chr1_6598651_6604569","NOL9"
"356","chr1_6612370_6615918","NOL9"
"357","chr1_6624509_6626224","TAS1R1"
"358","chr1_6634539_6635059","TAS1R1"
"359","chr1_6646405_6646952","ZBTB48"
"360","chr1_6700939_6702706","DNAJC11"
"361","chr1_6719938_6720439","DNAJC11"
"362","chr1_6727406_6727924","DNAJC11"
"363","chr1_6740778_6744492","DNAJC11"
"364","chr1_6745036_6745610","DNAJC11"
"365","chr1_6747687_6748047","DNAJC11"
"366","chr1_6751675_6752687","DNAJC11"
"367","chr1_6753247_6753983","DNAJC11"
"368","chr1_6783217_6787003","RP11-242F24.1"
"369","chr1_6788737_6789204","RP11-242F24.1"
"370","chr1_6889923_6890261","CAMTA1"
"371","chr1_6962194_6963846","CAMTA1"
"372","chr1_7647237_7647617","CAMTA1"
"373","chr1_7667426_7668189","CAMTA1"
"374","chr1_7669393_7670034","CAMTA1"
"375","chr1_7679850_7681289","CAMTA1"
"376","chr1_7702770_7706191","CAMTA1"
"377","chr1_7726772_7726874","CAMTA1"
"378","chr1_7728711_7729305","CAMTA1"
"379","chr1_7752797_7754055","CAMTA1"
"380","chr1_7770325_7772445","CAMTA1"
"381","chr1_7781126_7785308","CAMTA1"
"382","chr1_7786694_7787235","CAMTA1"
"383","chr1_7808240_7808621","CAMTA1"
"384","chr1_7826965_7827892","CAMTA1"
"385","chr1_7831469_7831776","VAMP3"
"386","chr1_7856317_7856801","PER3"
"387","chr1_7886451_7886714","PER3"
"388","chr1_7898981_7899310","PER3"
"389","chr1_7902504_7903174","PER3"
"390","chr1_7913080_7913428","UTS2"
"391","chr1_7982063_7982883","TNFRSF9"
"392","chr1_7993702_7994452","TNFRSF9"
"393","chr1_8014933_8015442","PARK7"
"394","chr1_8019991_8020479","PARK7"
"395","chr1_8025090_8027481","PARK7"
"396","chr1_8030999_8031597","PARK7"
"397","chr1_8083825_8084012","ERRFI1"
"398","chr1_8086087_8086440","ERRFI1"
"399","chr1_8096589_8097836","RP11-431K24.1"
"400","chr1_8104342_8105223","RP11-431K24.1"
"401","chr1_8106531_8107445","RP11-431K24.1"
"402","chr1_8113164_8114178","RP11-431K24.1"
"403","chr1_8116604_8116937","RP11-431K24.1"
"404","chr1_8120743_8121807","RP11-431K24.1"
"405","chr1_8126703_8127941","RP11-431K24.1"
"406","chr1_8141564_8142075","RP11-431K24.1"
"407","chr1_8145541_8146009","RP11-431K24.1"
"408","chr1_8149539_8150256","RP11-431K24.1"
"409","chr1_8151427_8154307","RP11-431K24.1"
"410","chr1_8155663_8156017","RP11-431K24.1"
"411","chr1_8165641_8166040","RP11-431K24.1"
"412","chr1_8167199_8168197","RP11-431K24.1"
"413","chr1_8169138_8170875","RP11-431K24.1"
"414","chr1_8182052_8183257","RP11-431K24.1"
"415","chr1_8268080_8268279","RNU1-7P"
"416","chr1_8282083_8282441","RP11-431K24.4"
"417","chr1_8348603_8352586","RNU6-991P"
"418","chr1_8353448_8353833","RNU6-991P"
"419","chr1_8382529_8383674","SLC45A1"
"420","chr1_8387960_8388509","SLC45A1"
"421","chr1_8394968_8396185","SLC45A1"
"422","chr1_8396820_8398417","SLC45A1"
"423","chr1_8417731_8418083","RERE"
"424","chr1_8419018_8419624","RERE"
"425","chr1_8422228_8425352","RERE"
"426","chr1_8426238_8428582","RERE"
"427","chr1_8429676_8431621","RERE"
"428","chr1_8432137_8432447","RERE"
"429","chr1_8438654_8439561","RERE"
"430","chr1_8443571_8444142","RERE"
"431","chr1_8448877_8449549","RERE"
"432","chr1_8457604_8458687","RERE"
"433","chr1_8461452_8461690","RERE"
"434","chr1_8462974_8464051","RERE"
"435","chr1_8465839_8466006","RERE"
"436","chr1_8472500_8473900","RERE"
"437","chr1_8475958_8476622","RERE"
"438","chr1_8477342_8477522","RERE"
"439","chr1_8495929_8498138","RERE"
"440","chr1_8509682_8510976","RERE"
"441","chr1_8511626_8511939","RERE"
"442","chr1_8516780_8518388","RERE"
"443","chr1_8520617_8521022","RERE"
"444","chr1_8522902_8526744","RERE"
"445","chr1_8527674_8528158","RERE"
"446","chr1_8532888_8534267","RERE"
"447","chr1_8552195_8552492","RERE"
"448","chr1_8561001_8561617","RERE"
"449","chr1_8562356_8562604","RERE"
"450","chr1_8602425_8603196","RERE"
"451","chr1_8603893_8604796","RERE"
"452","chr1_8621899_8622101","RERE"
"453","chr1_8623559_8624119","RERE"
"454","chr1_8625408_8625923","RERE"
"455","chr1_8629060_8630540","RERE"
"456","chr1_8633837_8634118","RERE"
"457","chr1_8643504_8643972","RERE"
"458","chr1_8647621_8647985","RERE"
"459","chr1_8649116_8649370","RERE"
"460","chr1_8651127_8651705","RERE"
"461","chr1_8660332_8662130","RERE"
"462","chr1_8662751_8662756","RERE"
"463","chr1_8663771_8664677","RERE"
"464","chr1_8666684_8667262","RERE"
"465","chr1_8669760_8670155","RERE"
"466","chr1_8671179_8671717","RERE"
"467","chr1_8674564_8674877","RERE"
"468","chr1_8680970_8681664","RERE"
"469","chr1_8687066_8687840","RERE"
"470","chr1_8700671_8703996","RERE"
"471","chr1_8704608_8705504","RERE"
"472","chr1_8712047_8713410","RERE"
"473","chr1_8726468_8727100","RERE"
"474","chr1_8764095_8764101","RERE"
"475","chr1_8814920_8818798","RERE"
"476","chr1_8822773_8822964","RERE"
"477","chr1_8825965_8826366","RERE"
"478","chr1_8829282_8830176","RERE"
"479","chr1_8847891_8849464","RERE"
"480","chr1_8859136_8860048","RERE"
"481","chr1_8862415_8863057","RERE"
"482","chr1_8865780_8866421","RERE"
"483","chr1_8867153_8867177","RERE"
"484","chr1_8869339_8869509","RERE"
"485","chr1_8870796_8872003","RERE"
"486","chr1_8873093_8874514","RERE"
"487","chr1_8875198_8881157","RERE"
"488","chr1_8889133_8890471","RP11-185B14.1"
"489","chr1_8920683_8921191","ENO1"
"490","chr1_8923188_8923206","ENO1"
"491","chr1_8924588_8928112","ENO1"
"492","chr1_8938228_8939018","ENO1"
"493","chr1_8939874_8940122","ENO1"
"494","chr1_8943458_8943663","RNU6-304P"
"495","chr1_8945558_8947766","RNU6-304P"
"496","chr1_8966613_8968208","RP3-477M7.5"
"497","chr1_8969008_8971929","RP3-477M7.5"
"498","chr1_9004217_9005722","CA6"
"499","chr1_9007518_9008173","CA6"
"500","chr1_9009988_9012018","CA6"
"501","chr1_9015907_9015952","CA6"
"502","chr1_9067062_9067687","SLC2A7"
"503","chr1_9069179_9070132","SLC2A7"
"504","chr1_9073169_9073582","SLC2A7"
"505","chr1_9074788_9075530","SLC2A7"
"506","chr1_9076109_9076633","SLC2A7"
"507","chr1_9077920_9079217","SLC2A7"
"508","chr1_9082805_9083766","SLC2A7"
"509","chr1_9101504_9101965","SLC2A5"
"510","chr1_9110656_9111347","SLC2A5"
"511","chr1_9119652_9120673","SLC2A5"
"512","chr1_9121426_9122669","SLC2A5"
"513","chr1_9127964_9130810","SLC2A5"
"514","chr1_9131424_9132116","SLC2A5"
"515","chr1_9135254_9135898","SLC2A5"
"516","chr1_9142171_9143765","SLC2A5"
"517","chr1_9162705_9164763","GPR157"
"518","chr1_9174157_9174622","GPR157"
"519","chr1_9179683_9180052","GPR157"
"520","chr1_9181220_9183334","GPR157"
"521","chr1_9238557_9240343","RP3-510D11.2"
"522","chr1_9242571_9243579","RP3-510D11.2"
"523","chr1_9244663_9244919","RP3-510D11.2"
"524","chr1_9249989_9250429","RP3-510D11.2"
"525","chr1_9260173_9260715","RP3-510D11.1"
"526","chr1_9291859_9295751","H6PD"
"527","chr1_9300417_9300938","H6PD"
"528","chr1_9362347_9363009","SPSB1"
"529","chr1_9368463_9368738","SPSB1"
"530","chr1_9373697_9374008","SPSB1"
"531","chr1_9399843_9401013","SPSB1"
"532","chr1_9410717_9411452","SPSB1"
"533","chr1_9412621_9414085","SPSB1"
"534","chr1_9416489_9418186","SPSB1"
"535","chr1_9418886_9418979","SPSB1"
"536","chr1_9420841_9421239","SPSB1"
"537","chr1_9425318_9430186","SPSB1"
"538","chr1_9560948_9562172","RP13-392I16.1"
"539","chr1_9601123_9601227","SLC25A33"
"540","chr1_9601787_9602389","SLC25A33"
"541","chr1_9615351_9616179","SLC25A33"
"542","chr1_9625717_9631757","SLC25A33"
"543","chr1_9633450_9633957","SLC25A33"
"544","chr1_9638496_9639849","SLC25A33"
"545","chr1_9641143_9641247","SLC25A33"
"546","chr1_9643544_9645869","SLC25A33"
"547","chr1_9648077_9649883","TMEM201"
"548","chr1_9650933_9656202","TMEM201"
"549","chr1_9657657_9658752","TMEM201"
"550","chr1_9663211_9663242","TMEM201"
"551","chr1_9665260_9665532","TMEM201"
"552","chr1_9669992_9670490","TMEM201"
"553","chr1_9710055_9710387","PIK3CD"
"554","chr1_9711472_9712207","PIK3CD"
"555","chr1_9713011_9736481","PIK3CD"
"556","chr1_9737038_9738689","PIK3CD"
"557","chr1_9768134_9768515","PIK3CD"
"558","chr1_9784272_9785171","PIK3CD"
"559","chr1_9786632_9788488","PIK3CD"
"560","chr1_9793821_9794179","CLSTN1"
"561","chr1_9799714_9800899","CLSTN1"
"562","chr1_9807760_9807808","CLSTN1"
"563","chr1_9809053_9809413","CLSTN1"
"564","chr1_9822551_9828239","CLSTN1"
"565","chr1_9836067_9836240","CLSTN1"
"566","chr1_9843221_9843999","CLSTN1"
"567","chr1_9845891_9846439","CLSTN1"
"568","chr1_9848721_9851303","CLSTN1"
"569","chr1_9860031_9860422","CLSTN1"
"570","chr1_9867077_9868132","CLSTN1"
"571","chr1_9874604_9875575","CLSTN1"
"572","chr1_9881809_9883520","CLSTN1"
"573","chr1_9908925_9911714","RP11-84A14.5"
"574","chr1_9942266_9944213","CTNNBIP1"
"575","chr1_9949702_9951744","CTNNBIP1"
"576","chr1_9961164_9961524","CTNNBIP1"
"577","chr1_9990524_9991664","LZIC"
"578","chr1_9992907_9993269","LZIC"
"579","chr1_9996780_9998246","LZIC"
"580","chr1_10022566_10023188","NMNAT1"
"581","chr1_10027410_10027514","NMNAT1"
"582","chr1_10028913_10029571","NMNAT1"
"583","chr1_10032215_10034794","NMNAT1"
"584","chr1_10055612_10056490","RBP7"
"585","chr1_10066917_10067477","RBP7"
"586","chr1_10074313_10074763","RBP7"
"587","chr1_10147950_10148597","UBE4B"
"588","chr1_10151185_10151595","UBE4B"
"589","chr1_10152934_10153293","UBE4B"
"590","chr1_10173542_10173861","UBE4B"
"591","chr1_10186960_10187126","UBE4B"
"592","chr1_10189555_10190144","UBE4B"
"593","chr1_10208190_10212349","UBE4B"
"594","chr1_10215956_10216806","UBE4B"
"595","chr1_10299158_10299582","KIF1B"
"596","chr1_10307818_10308433","KIF1B"
"597","chr1_10324619_10325046","KIF1B"
"598","chr1_10338083_10338385","KIF1B"
"599","chr1_10377170_10378961","KIF1B"
"600","chr1_10380154_10380529","KIF1B"
"601","chr1_10387617_10388982","KIF1B"
"602","chr1_10397983_10401101","KIF1B"
"603","chr1_10414668_10415869","KIF1B"
"604","chr1_10426893_10428703","KIF1B"
"605","chr1_10429575_10431545","KIF1B"
"606","chr1_10457543_10457623","PGD"
"607","chr1_10471411_10473197","PGD"
"608","chr1_10474312_10476098","PGD"
"609","chr1_10494393_10496600","APITD1"
"610","chr1_10497184_10497519","APITD1"
"611","chr1_10498100_10498605","APITD1"
"612","chr1_10507203_10507902","APITD1"
"613","chr1_10510435_10511994","APITD1"
"614","chr1_10524985_10525874","DFFA"
"615","chr1_10544125_10544719","PEX14"
"616","chr1_10638116_10639495","PEX14"
"617","chr1_10679689_10679878","PEX14"
"618","chr1_10755807_10756397","CASZ1"
"619","chr1_11011379_11013659","C1orf127"
"620","chr1_11037503_11038265","C1orf127"
"621","chr1_11051762_11053356","CFL1P6"
"622","chr1_11058891_11061876","AL713997.1"
"623","chr1_11099018_11100649","MASP2"
"624","chr1_11227377_11227778","MTOR"
"625","chr1_11241623_11242150","MTOR"
"626","chr1_11246045_11246636","MTOR"
"627","chr1_11261789_11263564","MTOR"
"628","chr1_11272230_11274336","MTOR"
"629","chr1_11280683_11282032","MTOR"
"630","chr1_11284852_11285083","MTOR"
"631","chr1_11291509_11291969","MTOR"
"632","chr1_11294995_11295108","MTOR"
"633","chr1_11295904_11296235","MTOR"
"634","chr1_11320156_11320533","MTOR"
"635","chr1_11335278_11336095","UBIAD1"
"636","chr1_11337462_11337930","UBIAD1"
